id,y,quartos,area,custo,vagas,mobiliado,bairro,endereco,latitude,longitude,estacao,distancia,linha_amarela,linha_azul,linha_lilas,linha_prata,linha_verde,linha_vermelha,update_time,apartment_link
893011926,0,2,80,3455,1,0,Vila Madalena,Rua Cerro Corá,-23.5406945,-46.7017961,Vila Madalena,1.26,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893011926
893147786,0,3,120,5975,1,0,Alto de Pinheiros,Rua Doutor Luís Augusto de Queirós Aranha,-23.5443245,-46.7090446,Vila Madalena,1.85,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893147786
893446046,0,2,68,3390,1,0,Alto de Pinheiros,Praça Japuba,-23.5408334,-46.7066474,Vila Madalena,1.7,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893446046
893311854,0,3,88,5188,2,0,Vila Madalena,Rua Antônio Borba,-23.5417566,-46.7017618,Vila Madalena,1.21,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893311854
893254708,0,2,52,2289,0,1,Alto de Pinheiros,Avenida Diógenes Ribeiro de Lima,-23.5424081,-46.7166143,Vila Madalena,2.64,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893254708
893347522,0,3,160,7958,3,0,Alto de Pinheiros,Rua Pedralva,-23.5443545,-46.718084,Vila Madalena,2.76,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893347522
892808226,0,2,70,2970,1,0,Vila Romana,Rua Cerro Corá,-23.5401872,-46.7029841,Vila Madalena,1.4,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892808226
893369786,0,3,92,4675,1,0,Alto de Pinheiros,Rua Sararé,-23.5418856,-46.7086682,Vila Madalena,1.86,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893369786
893252098,0,3,103,8484,1,1,Vila Madalena,Rua Nazaré Paulista,-23.5456019,-46.7009934,Vila Madalena,1.01,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893252098
893174779,0,4,278,15007,3,0,Vila Madalena,Rua Realengo,-23.5432454,-46.7037708,Vila Madalena,1.34,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893174779
893453182,0,2,72,2947,1,0,Vila Romana,Rua Cerro Corá,-23.5402535,-46.7030267,Vila Madalena,1.4,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893453182
893401824,0,3,88,4774,2,0,Vila Madalena,Rua Antônio Borba,-23.5419,-46.7025489,Vila Madalena,1.27,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893401824
893438953,0,2,68,3106,1,0,Alto de Pinheiros,Praça Japuba,-23.5408334,-46.7066474,Vila Madalena,1.7,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893438953
