id,quartos,area,custo,vagas,mobiliado,bairro,endereco,latitude,longitude,estacao,distancia,linha_amarela,linha_azul,linha_lilas,linha_prata,linha_verde,linha_vermelha,update_time,apartment_link
892870723,3,200,8702,2,1,Alto de Pinheiros,Avenida Padre Pereira de Andrade,-23.541828600000002,-46.7188995,Vila Madalena,2.88,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/892870723
892933685,3,70,1514,0,0,Vila Formosa,Avenida Cipriano Rodrigues,-23.5755799,-46.5295999,Sao Lucas,2.13,0,0,0,1,0,0,2021-10-29,https://www.quintoandar.com.br/imovel/892933685
892987404,1,50,4116,1,0,Barra Funda,Alameda Olga,-23.5286705,-46.663027899999996,Palmeiras Barra Funda,0.58,0,0,0,0,0,1,2021-10-29,https://www.quintoandar.com.br/imovel/892987404
893013830,3,170,8942,2,0,Jardim Paulista,Alameda Casabranca,-23.5660433,-46.6597089,Trianon Masp,0.66,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/893013830
892932814,3,125,5914,1,0,Jardim Paulista,Alameda Franca,-23.565989000000002,-46.6584224,Trianon Masp,0.54,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/892932814
892974215,1,50,5392,1,0,Consolação,Alameda Ministro Rocha Azevedo,-23.5582646,-46.6566685,Consolacao,0.36,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/892974215
892945292,3,180,4815,2,0,Bela Vista,Rua Treze de Maio,-23.5651576,-46.6449065,Brigadeiro,0.5,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/892945292
892812375,1,55,5783,1,1,Consolação,Alameda Ministro Rocha Azevedo,-23.5583862,-46.656884399999996,Consolacao,0.34,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/892812375
892935960,1,45,3485,1,0,Consolação,R. Bela Cintra,-23.5508013,-46.6537971,Higienopolis Mackenzie,0.25,1,0,0,0,0,0,2021-10-29,https://www.quintoandar.com.br/imovel/892935960
893103624,1,50,2576,0,0,Consolação,Rua Frei Caneca,-23.5522787,-46.6511311,Higienopolis Mackenzie,0.39,1,0,0,0,0,0,2021-10-29,https://www.quintoandar.com.br/imovel/893103624
892883604,1,50,3941,0,1,Bela Vista,Rua Santo Antônio,-23.5519758,-46.6455744,Higienopolis Mackenzie,0.76,1,0,0,0,0,0,2021-10-29,https://www.quintoandar.com.br/imovel/892883604
893105757,2,60,2526,0,0,Bela Vista,Rua Rocha,-23.5567344,-46.6500161,Trianon Masp,0.86,0,0,0,0,1,0,2021-10-29,https://www.quintoandar.com.br/imovel/893105757
